0,0,+
190,255,+
337,2799,+
2801,3733,+
3734,5020,+
5234,5530,+
5565,5669,+
8238,9191,+
9306,9893,+
12163,14079,+
14168,15298,+
15387,16731,+
15445,16557,+
16952,17006,+
17489,18655,+
18715,19620,+
21181,21399,+
21407,22348,+
22391,25207,+
25207,25701,+
25710,25795,+
25826,26275,+
26277,27227,+
27293,28207,+
28374,29195,+
29651,30799,+
30817,34038,+
34300,34695,+
34727,34762,+
39151,39232,+
42403,43173,+
43188,44129,+
44180,45466,+
45463,45750,+
45807,47138,+
47246,47776,+
47769,49631,+
49823,50302,+
50327,50363,+
57364,58179,+
58474,59052,+
58474,59279,+
59052,59279,+
66565,66812,+
70387,71265,+
71351,72115,+
72136,72220,+
77367,77593,+
77388,77519,+
77621,78799,+
84368,85312,+
85630,87354,+
87357,87848,+
88028,89032,+
89634,90092,+
90094,91035,+
91032,91397,+
91413,93179,+
93166,94653,+
94650,96008,+
96002,97084,+
97087,98403,+
98403,99647,+
99644,100711,+
100765,102240,+
102233,103153,+
103155,103985,+
103982,105244,+
104533,104769,+
105305,106456,+
106557,107474,+
107705,108217,+
108279,110984,+
111044,111433,+
111430,111629,+
113444,114487,+
118733,119284,+
119281,120135,+
122092,122856,+
123017,125680,+
125695,127587,+
127912,129336,+
129347,129361,+
131615,134212,+
134388,134750,+
137083,138633,+
138699,138796,+
141431,141967,+
141978,141998,+
142779,143705,+
143702,144472,+
144577,145017,+
145081,146310,+
146968,147870,+
162105,164534,+
164730,167264,+
167281,167305,+
167484,169727,+
169778,170575,+
170575,171465,+
171462,173444,+
173504,173588,+
175107,176528,+
176610,176954,+
176969,176987,+
179237,180754,+
180884,182308,+
182463,183620,+
189712,189847,+
189874,190599,+
190857,191708,+
191855,192580,+
192872,193429,+
193521,194717,+
194903,195664,+
195677,196534,+
196546,197898,+
197928,200360,+
200482,200967,+
200971,201996,+
202101,202556,+
202560,203348,+
203348,204496,+
204493,205089,+
205126,208608,+
208621,209580,+
209679,211820,+
211877,212266,+
212331,213629,+
213632,213668,+
214291,214836,+
214833,215255,+
215269,215979,+
216027,216137,+
222833,223408,+
223771,225312,+
225381,225457,+
225500,225575,+
225759,228662,+
228756,228875,+
228928,229004,+
229167,229970,+
231122,231922,+
231926,232549,+
234816,235538,+
236067,236798,+
236931,237007,+
237335,238120,+
239106,239378,+
240343,240816,+
243543,244121,+
244129,244263,+
244327,245094,+
246712,247461,+
247458,247541,+
247637,248134,+
248147,248334,+
250072,250827,+
250898,251953,+
252005,252298,+
252301,252699,+
252709,253161,+
253479,253685,+
253702,254202,+
254217,254244,+
255977,256435,+
256527,257771,+
257829,257899,+
258676,259006,+
259016,259036,+
260388,261491,+
261503,262756,+
262871,262946,+
262958,297265,+
270206,270540,+
270278,270535,+
270541,271761,+
270603,271754,+
271762,272190,+
271764,272189,+
272580,272654,+
272847,273954,+
275325,276728,+
276715,277647,+
277675,277741,+
279931,280104,+
279931,280111,+
282278,283186,+
283201,285168,+
285395,286777,+
286789,288399,+
290429,290633,+
291404,292231,+
297206,297254,+
302991,303605,+
312112,312339,+
314357,315228,+
315229,316483,+
315291,315590,+
315587,316453,+
317439,317567,+
320227,321081,+
321608,322327,+
322338,323765,+
323758,324453,+
329463,331496,+
332371,333459,+
335280,335885,+
335925,336788,+
336778,338325,+
338325,339743,+
339757,340114,+
340165,341115,+
341125,342507,+
342884,343933,+
344176,344991,+
345404,345649,+
346455,347086,+
346484,346759,+
346824,346853,+
348682,349572,+
349605,349969,+
350012,351181,+
351215,352666,+
352706,354592,+
354599,354769,+
354922,356181,+
356171,357454,+
357484,357562,+
357684,357762,+
358799,359458,+
359489,359959,+
359992,361146,+
361208,361236,+
361883,361916,+
366294,366426,+
366295,366406,+
368611,370275,+
370277,371221,+
371239,372105,+
372115,372924,+
372921,373871,+
373868,374881,+
374930,375365,+
375459,376670,+
376772,377311,+
377335,377521,+
381260,382590,+
381351,381716,+
381674,382579,+
385232,386194,+
386207,386974,+
386971,387798,+
387795,388646,+
390251,391708,+
392970,394418,+
394506,395129,+
396639,397859,+
397872,398966,+
398980,399014,+
399593,399805,+
401386,401646,+
401747,403162,+
403281,403601,+
403703,404818,+
405764,406222,+
406405,406929,+
406979,407170,+
407428,408105,+
408177,408461,+
408609,408950,+
409052,409088,+
410144,411052,+
411078,411268,+
417142,417831,+
417889,419184,+
419591,420910,+
420986,422359,+
422372,422404,+
422518,424332,+
425011,426081,+
426137,427264,+
427287,427619,+
427647,429494,+
429505,430476,+
430605,430952,+
430968,431065,+
433002,433451,+
433455,434558,+
434647,435117,+
435137,435556,+
435634,436611,+
436589,437107,+
437120,437156,+
441549,442997,+
443018,443049,+
444683,445174,+
445200,445286,+
454472,454789,+
455133,456431,+
456677,457300,+
457426,458700,+
458888,461242,+
459108,460208,+
461451,461723,+
461915,463786,+
463937,464308,+
464402,464800,+
464813,464837,+
467412,468230,+
468383,468841,+
468871,470643,+
470636,472417,+
472598,472936,+
472966,474252,+
474271,474293,+
475379,475951,+
476448,476561,+
476672,477025,+
485761,486408,+
486536,489898,+
489959,490056,+
490882,491259,+
491412,491963,+
492092,494023,+
494076,494405,+
494405,495010,+
495120,496994,+
497001,497026,+
497175,497819,+
497916,497933,+
498055,499017,+
500125,501429,+
501444,501527,+
504914,506566,+
506576,506595,+
507204,507287,+
508218,508559,+
508582,508817,+
511641,512573,+
512576,513868,+
513993,514400,+
515919,516596,+
516583,517362,+
517369,517394,+
519226,519451,+
519733,520419,+
520416,522830,+
523261,527541,+
527581,527949,+
527952,528659,+
528640,529130,+
529500,529592,+
532451,532933,+
533011,533826,+
533916,535697,+
535710,536486,+
536586,537464,+
537633,539087,+
539147,540508,+
540565,541866,+
541888,543033,+
543087,543183,+
546680,548347,+
548357,549616,+
549627,550442,+
550439,551332,+
551354,551510,+
554611,555996,+
556007,556032,+
558212,558754,+
558974,559666,+
559697,562300,+
562095,562244,+
562336,563319,+
563330,563845,+
564723,564799,+
564802,586103,+
566376,566687,+
566684,566776,+
566777,568034,+
566842,567141,+
567138,568004,+
568035,568247,+
568315,568647,+
568902,570428,+
570893,571444,+
571454,572251,+
572368,572469,+
572466,572921,+
572921,573091,+
573084,573374,+
573371,573733,+
573730,573870,+
573956,574339,+
577398,577613,+
577613,578110,+
578107,578568,+
578327,578509,+
578394,578411,+
579659,579822,+
579880,580086,+
580834,581379,+
581354,581662,+
581660,582097,+
582953,583135,+
583681,584430,+
586057,586101,+
595600,596973,+
597131,597463,+
597479,598702,+
598714,601857,+
601959,603335,+
607734,607792,+
607836,607988,+
608007,609351,+
608065,609177,+
610117,610214,+
612737,613939,+
613942,614160,+
614157,618038,+
618254,619387,+
622300,623550,+
624885,626060,+
626070,627680,+
627694,628551,+
628551,629297,+
629300,629713,+
629894,631999,+
632115,632148,+
632182,632379,+
633586,634746,+
638945,639508,+
639753,641318,+
642088,643326,+
648179,648383,+
652235,653893,+
653862,654542,+
654552,654574,+
656557,657117,+
657292,657501,+
658031,658225,+
658031,658818,+
658225,658818,+
658947,659150,+
675018,675500,+
676711,677418,+
677415,678842,+
679508,680215,+
680212,681663,+
681685,681714,+
686750,686774,+
689264,689297,+
695101,696276,+
696307,696377,+
699425,699522,+
703944,705890,+
705897,705932,+
706093,707757,+
707770,707934,+
708334,709740,+
709790,710116,+
710908,710940,+
712987,713532,+
713558,715198,+
715264,715361,+
715412,715906,+
720583,720840,+
729134,729340,+
729583,733776,+
733776,734102,+
734133,735653,+
735650,736219,+
736445,736684,+
736825,737961,+
738092,738853,+
739001,739510,+
739507,740925,+
740954,741059,+
742827,743570,+
743593,744249,+
744243,745175,+
745165,745899,+
745935,746726,+
755177,755566,+
755560,755907,+
755907,757673,+
757689,758405,+
758409,758526,+
758706,761507,+
761522,762739,+
762762,762928,+
763014,764180,+
764180,765049,+
765984,767960,+
767978,770611,+
770675,770773,+
771458,773026,+
773042,774181,+
774196,774309,+
774309,774602,+
774752,775156,+
775153,775845,+
775849,776277,+
776342,777607,+
777740,779032,+
779067,779588,+
779598,780389,+
780554,780629,+
780765,780840,+
780843,780918,+
781068,781143,+
781147,781222,+
781369,781444,+
781577,781652,+
782085,783128,+
783166,783885,+
785633,786685,+
786735,786769,+
792264,792297,+
794773,794922,+
795089,795862,+
795862,796551,+
796554,797612,+
798586,799581,+
800759,801811,+
801887,803320,+
803503,805764,+
805804,805981,+
809344,810384,+
810381,811535,+
811522,812277,+
812270,812947,+
813526,815547,+
815585,815681,+
817044,818033,+
818055,818567,+
818570,819055,+
819048,819293,+
819295,819747,+
819758,819784,+
819884,820588,+
820793,821506,+
824630,825040,+
830872,832236,+
832289,832386,+
833070,835220,+
835248,836210,+
836222,836245,+
836351,837436,+
837539,837661,+
842332,843258,+
845631,845729,+
847360,847514,+
850450,850965,+
853183,853650,+
853647,854765,+
855963,857555,+
857616,857713,+
863642,864304,+
864333,864370,+
866568,867533,+
867520,869391,+
869411,870949,+
870967,871887,+
871890,872801,+
872979,875327,+
875335,876663,+
878248,878631,+
878742,879857,+
880727,881929,+
881940,881966,+
883673,884905,+
887423,887959,+
890089,890466,+
890913,891200,+
891184,891906,+
891967,892869,+
892957,893433,+
893784,894896,+
894991,896124,+
896134,897087,+
897084,897929,+
897989,898477,+
898518,899645,+
899696,899793,+
900749,900835,+
904593,904916,+
904913,905743,+
911147,911172,+
912484,912740,+
916473,918131,+
919235,920350,+
920347,922293,+
922431,922592,+
922913,923233,+
923264,925540,+
932595,933089,+
933224,937213,+
937224,937259,+
937372,937983,+
937994,939337,+
939428,940720,+
940959,943403,+
943414,944031,+
944033,944896,+
945871,947019,+
947229,948659,+
949668,950258,+
956762,957454,+
957653,958741,+
958812,960095,+
960264,961028,+
961201,961884,+
961995,963668,+
963828,964112,+
964320,966584,+
966621,968369,+
968366,969352,+
969389,970621,+
970673,970855,+
970852,971598,+
971752,972645,+
973537,974322,+
974319,975641,+
974891,975052,+
975622,976326,+
976326,980786,+
981047,982894,+
983075,983623,+
983650,984297,+
984361,984458,+
990622,993234,+
997868,998407,+
998490,999191,+
999216,1001816,+
1001807,1002877,+
1002889,1003431,+
1003439,1003954,+
1003947,1004657,+
1004768,1005778,+
1005952,1006494,+
1007844,1009952,+
1009964,1011871,+
1011919,1011947,+
1012001,1013254,+
1013259,1014899,+
1014896,1015459,+
1015715,1015882,+
1018485,1018937,+
1021138,1021767,+
1024471,1026525,+
1027946,1028359,+
1028366,1028389,+
1030064,1030342,+
1032139,1033257,+
1033254,1035047,+
1035066,1035773,+
1035770,1036357,+
1036354,1036752,+
1036749,1037606,+
1037740,1039284,+
1039296,1040432,+
1040445,1040537,+
1040543,1040578,+
1040617,1041915,+
1041985,1042018,+
1049778,1050545,+
1049833,1050108,+
1050027,1050530,+
1051461,1051673,+
1051847,1052077,+
1052067,1052240,+
1056261,1057289,+
1058084,1059256,+
1059256,1061802,+
1061799,1062398,+
1062407,1062540,+
1064036,1065292,+
1065585,1066826,+
1068081,1068254,+
1068354,1068451,+
1072862,1072955,+
1074242,1074880,+
1074885,1074912,+
1079305,1080813,+
1081112,1081145,+
1081356,1081460,+
1081356,1082185,+
1081460,1082185,+
1082243,1083370,+
1083376,1084647,+
1084682,1084767,+
1084992,1086056,+
1092876,1094234,+
1095505,1095846,+
1095843,1096829,+
1097886,1098824,+
1098879,1099616,+
1099640,1100194,+
1100296,1100787,+
1100821,1100839,+
1103951,1104406,+
1104447,1104902,+
1104961,1105293,+
1105414,1105725,+
1105820,1106353,+
1106355,1107776,+
1109335,1110870,+
1110863,1113406,+
1113417,1113514,+
1113579,1113806,+
1115626,1115652,+
1116807,1117859,+
1117868,1117888,+
1125562,1126146,+
1126157,1126804,+
1126806,1127729,+
1127839,1129374,+
1128578,1128765,+
1131018,1131434,+
1131438,1131842,+
1131854,1132549,+
1132574,1133782,+
1133802,1134557,+
1134586,1134683,+
1134729,1135511,+
1135564,1136262,+
1136274,1137371,+
1137371,1138312,+
1138378,1140021,+
1140033,1140986,+
1144502,1144822,+
1144940,1145899,+
1145928,1146002,+
1146589,1146757,+
1146794,1147315,+
1147367,1147540,+
1147621,1148691,+
1148759,1149712,+
1149728,1150657,+
1150670,1151404,+
1151615,1151851,+
1151939,1153180,+
1153300,1154109,+
1154112,1155134,+
